program,week,week_focus,progression,day,day_title,optional_day,time_cap_min,exercise_order,exercise,block,sets,reps_time,rest_seconds,notes,safety_substitution
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,1,Day 1 – Squat Strength,No,45,1,Back Squat,Main Lift,5,5,120,,Use a pain-free stance; stop at RPE 8. Safety-bar squat is the preferred substitute.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,1,Day 1 – Squat Strength,No,45,2,Chest-Supported Row,A1,3,8–10,60,Neutral grip when available.,Pair with split squat.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,1,Day 1 – Squat Strength,No,45,3,Rear-Foot-Elevated Split Squat,A2,3,6/side,60,Use support for balance if needed.,Keep torso controlled and stride comfortable.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,1,Day 1 – Squat Strength,No,45,4,Pallof Press,B1,3,10/side,45,,No trunk rotation.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,1,Day 1 – Squat Strength,No,45,5,Sled Push,Finisher,4,20–30 yd,45,Moderate load.,Finish in 5–6 minutes; skip if the session reaches 45 minutes.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,2,Day 2 – Bench & Pull,No,45,1,Barbell Bench Press,Main Lift,5,5,120,Use a comfortable grip and controlled touch.,Stop for sharp shoulder pain; neutral-grip DB bench is the substitute.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,2,Day 2 – Bench & Pull,No,45,2,Neutral-Grip Lat Pulldown,A1,3,8–10,60,,Pair with incline press.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,2,Day 2 – Bench & Pull,No,45,3,Low-Incline Neutral-Grip DB Press,A2,3,8–10,60,Bench angle roughly 15–30°.,Do not force painful depth.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,2,Day 2 – Bench & Pull,No,45,4,Face Pull,B1,3,12–15,45,,Pull toward eyebrow level without shrugging.
Foundation Strength – Golden Age Improved,1,Base,Use conservative loads. Finish main lifts around RPE 7 with 2–3 reps in reserve.,2,Day 2 – Bench & Pull,No,45,5,Suitcase Carry,B2,3,30–40 sec/side,45,,Stay tall; resist side bending.
